Company,CIK,Document,Form
Corwin Jonathan C.,0001709483,Security Sale/Purchase Record, 4
Tezanos Matias de,0001640907,Security Sale/Purchase Record, 4
Poilasne Gregory,0001852374,Security Sale/Purchase Record, 4
Ellsworth Joanne,0001709055,Security Sale/Purchase Record, 4
CITIGROUP INC,0000200245,Prospectus [Rule 424(b)(2)], 424B2
Vaughn James Matthew,0000912603,Security Ownership Statement, 3
THORNTON JOHN L,0001090353,Security Sale/Purchase Record, 4
THORNTON JOHN L,0000037996,Security Sale/Purchase Record, 4
Zhu Huaying,0001943702,Security Ownership Statement, 3
Edwards Scott L.,0001023364,Security Sale/Purchase Record, 4
Edwards Scott L.,0001911789,Security Sale/Purchase Record, 4
TORONTO DOMINION BANK,0000947263,Prospectus [Rule 424(b)(2)], 424B2
Gallagher Daniel Martin Jr,0001705560,Security Sale/Purchase Record, 4
Wolff Andrew D.,0001886466,Security Sale/Purchase Record, 4/A
Nanigian Brett,0001023364,Security Sale/Purchase Record, 4
Nanigian Brett,0001910692,Security Sale/Purchase Record, 4
Duckett Barbara,0001050377,Security Sale/Purchase Record, 4
Duckett Barbara,0001465783,Security Sale/Purchase Record, 4
Brooks Michael T.,0001422898,Security Sale/Purchase Record, 4
MADDEN MICHAEL D,0001200803,Security Sale/Purchase Record, 4
Pham Trac,0001627340,Security Sale/Purchase Record, 4
Livent Corp.,0001742924,Current Report, 8-K
Veihmeyer John B,0001723533,Security Sale/Purchase Record, 4
Barsetti Joshua J,0001752322,Security Sale/Purchase Record, 4
ORTALE BUFORD H,000105,Security Sale/Purchase Record, 4
Bridenstine James Frederick,0001855815,Security Sale/Purchase Record, 4
BEN-DOR ROY,0001945400,Security Ownership Statement, 3
"STRONGHOLD ENERGY II HOLDINGS, LLC",0001944798,Security Ownership Statement, 3
"STRONGHOLD ENERGY II OPERATING, LLC",0001944796,Security Ownership Statement, 3
"STRONGHOLD ENERGY II INTERMEDIATE, LLC",0001944783,Security Ownership Statement, 3
Logerwell Kellie J,0001678263,Security Sale/Purchase Record, 4
Vogel Herbert S,0001544288,Security Sale/Purchase Record, 4
Vogel Herbert S,0000893538,Security Sale/Purchase Record, 4
Krygier Christopher D,0001814062,Security Sale/Purchase Record, 4
Krygier Christopher D,0001434728,Security Sale/Purchase Record, 4
Williams Roland L.,0001754480,Security Sale/Purchase Record, 4
Aoki Ichiro,0001841925,Security Sale/Purchase Record, 4
MOONEY BETH E,0001217178,Security Sale/Purchase Record, 4
MOONEY BETH E,0000037996,Security Sale/Purchase Record, 4
Frei Frances X,0001477837,Security Sale/Purchase Record, 4
HIVE Blockchain Technologies Ltd.,0001720424,Foreign Issuer Report, 6-K
Eubanks Richard M.,0001510025,Security Sale/Purchase Record, 4
Pak Sean,0001728260,Security Sale/Purchase Record, 4
JPMORGAN CHASE & CO,0000019617,Prospectus [Rule 424(b)(2)], 424B2
Whitlock Michelle,0001906329,Security Sale/Purchase Record, 4
ROPER MARTIN F,0001206513,Security Sale/Purchase Record, 4
McCarthy Marie J,0001748435,Security Sale/Purchase Record, 4/A
"GJ Culture Group US, Inc.",0001781726,Acquisition Statement, SC 13D
Kennard William E,0001198236,Security Sale/Purchase Record, 4
STENBIT JOHN P,0001287579,Security Sale/Purchase Record, 4
STENBIT JOHN P,0000797721,Security Sale/Purchase Record, 4
Advisors' Inner Circle Fund III,0001593547,Prospectus Summary, 497K
AFEYAN NOUBAR,0001222012,Security Sale/Purchase Record, 4
Rose Patricia A,0001716431,Security Sale/Purchase Record, 4/A
Lahiri Ashok,0001828318,Security Sale/Purchase Record, 4
Lahiri Ashok,0001868557,Security Sale/Purchase Record, 4
Vojvodich Lynn M,0001662205,Security Sale/Purchase Record, 4
Parks James K,0001839686,Security Sale/Purchase Record, 4
KILGORE LESLIE J,0001218352,Security Sale/Purchase Record, 4
WALTON S ROBSON,0001219112,Security Sale/Purchase Record, 4
Sweeney Anne M,0001638276,Security Sale/Purchase Record, 4
Smith Ryan A,0001821343,Security Sale/Purchase Record, 4/A
Huntsman Jon M Jr,0001541785,Security Sale/Purchase Record, 4
Huckelbridge Brett,0001742329,Security Sale/Purchase Record, 4
Clark Michael S.,0001514557,Security Sale/Purchase Record, 4
BRASKEM SA,0001071438,Foreign Issuer Report, 6-K
Actis-Grande Kristen,0001821740,Security Sale/Purchase Record, 4
WETHERBEE ROBERT S,0001572385,Security Sale/Purchase Record, 4
Finley John David,0001851034,Security Sale/Purchase Record, 4
RUBINSTEIN JONATHAN,0001209522,Security Sale/Purchase Record, 4
Soderberg Carl John,0000750686,Security Sale/Purchase Record, 4/A
Bergstrom Donald A,0001812364,Security Sale/Purchase Record, 4
Meads Garner B. III,0001892703,Security Sale/Purchase Record, 4
JPMORGAN CHASE & CO,0001665650,Prospectus [Rule 424(b)(2)], 424B2
Bossart Dominik,0001781833,Security Sale/Purchase Record, 4
JOHNSON ROBERT W,0000903435,Security Sale/Purchase Record, 4
JOHNSON ROBERT W,0000797721,Security Sale/Purchase Record, 4
JONES DAVID A /WI,0000905631,Security Sale/Purchase Record, 4
WALTON JIM C,0001219106,Security Sale/Purchase Record, 4
Davis Simon,0001609398,Security Sale/Purchase Record, 4
Wang Guidong,0001943700,Security Ownership Statement, 3
"Cidara Therapeutics, Inc.",0001610618,Current Report, 8-K
LeBouef Craig C.,0001885821,Security Sale/Purchase Record, 4
LeBouef Craig C.,0001849867,Security Sale/Purchase Record, 4
Absher Scott W,0001289144,Security Sale/Purchase Record, 4
World Funds Trust,0001396092,Prospectus Summary, 497K
SCHOONOVER JAMES A,0001191085,Security Sale/Purchase Record, 4
Ezama Meabe Sergio,0001884911,Security Sale/Purchase Record, 4
Kelly Scott A.,0001703394,Security Sale/Purchase Record, 4
Kelly Scott A.,0001175680,Security Sale/Purchase Record, 4
Thompson Janet M,0001428624,Security Sale/Purchase Record, 4
WISE THERESA,0001677728,Security Sale/Purchase Record, 4
Bunting Glenn W Jr,0001418121,Security Sale/Purchase Record, 4
Lenderking John Carroll,0001802075,Security Sale/Purchase Record, 4
Helman William W,0000037996,Security Sale/Purchase Record, 4
Ingle Daniel R.,0001764956,Security Sale/Purchase Record, 4
DECKER THOMAS H,0001018462,Security Sale/Purchase Record, 4
Davis Andrew S.,0001770191,Security Sale/Purchase Record, 4
KKR Real Estate Select Trust Inc.,0001803958,Acquisition Statement, SC 13D/A
Lee Dicus Marian,0001921837,Security Sale/Purchase Record, 4
OBUS NELSON,0001017043,Security Sale/Purchase Record, 4
Morris June,0001884658,Security Sale/Purchase Record, 4
Sterrs Lawrence J,0001629704,Security Sale/Purchase Record, 4/A
Bradley Peter,0001331717,Security Sale/Purchase Record, 4
Prager Paul B.,0001877255,Security Sale/Purchase Record, 4
Beech Michael F,0001626738,Security Sale/Purchase Record, 4
